1, Man City,8,6,1,1,19:8,11,19
2, Arsenal,8,6,1,1,19:9,10,19
3, Spurs,8,5,3,0,13:4,9,18
4, Liverpool,8,5,2,1,18:10,8,17
5, Chelsea,8,5,1,2,15:9,6,16
6, Everton,8,4,3,1,12:6,6,15
7, Man Utd,8,4,2,2,13:8,5,14
8, Southampton,8,3,3,2,10:7,3,12
9, Crystal Palace,8,3,2,3,11:9,2,11
10, Watford,8,3,2,3,13:13,0,11
11, Bournemouth,8,3,2,3,12:12,0,11
12, West Brom,8,2,4,2,9:8,1,10
13, Leicester,8,2,2,4,8:14,-6,8
14, Burnley ,8,2,1,5,6:12,-6,7
15, West Ham,8,2,1,5,9:17,-8,7
16, Hull City ,8,2,1,5,8:20,-12,7
17, Middlesbrough ,8,1,3,4,7:11,-4,6
18, Stoke City,8,1,3,4,7:16,-9,6
19, Swansea,8,1,1,6,8:15,-7,4
20, Sunderland,8,0,2,6,6:15,-9,2
