1, Chelsea,13,9,1,3,28:8,20,28
2, Arsenal,13,8,2,3,26:12,14,26
3, Man Utd,13,6,7,0,26:15,11,25
4, Man City,13,6,4,3,15:10,5,22
5, Bolton,13,4,7,2,21:19,2,19
6, Sunderland,13,4,7,2,15:13,2,19
7, Spurs,13,5,4,4,18:17,1,19
8, Newcastle,13,5,3,5,21:16,5,18
9, Aston Villa,13,4,5,4,15:18,-3,17
10, Stoke City,13,5,1,7,15:18,-3,16
11, Liverpool,13,4,4,5,13:17,-4,16
12, West Brom,13,4,4,5,16:22,-6,16
13, Everton,13,3,6,4,14:13,1,15
14, Blackburn,13,4,3,6,15:18,-3,15
15, Blackpool,13,4,3,6,19:26,-7,15
16, Fulham,13,2,8,3,13:13,0,14
17, Wigan,13,3,5,5,10:21,-11,14
18, Birmingham,13,2,7,4,14:17,-3,13
19, Wolves ,13,2,3,8,13:23,-10,9
20, West Ham,13,1,6,6,11:22,-11,9
