"","nome.y","nome.x","minuto","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","Wigan","WestHam",1,1071,379,1,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"2","Wigan","WestHam",2,1071,379,2,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"3","Wigan","WestHam",3,1071,379,3,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"4","Wigan","WestHam",4,1071,379,4,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"5","Wigan","WestHam",5,1071,379,5,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"6","Wigan","WestHam",6,1071,379,6,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"7","Wigan","WestHam",7,1071,379,7,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"8","Wigan","WestHam",8,1071,379,8,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"9","Wigan","WestHam",9,1071,379,9,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"10","Wigan","WestHam",10,1071,379,10,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"11","Wigan","WestHam",11,1071,379,11,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"12","Wigan","WestHam",12,1071,379,12,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"13","Wigan","WestHam",13,1071,379,13,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"14","Wigan","WestHam",14,1071,379,14,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"15","Wigan","WestHam",15,1071,379,15,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"16","Wigan","WestHam",16,1071,379,16,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"17","Wigan","WestHam",17,1071,379,17,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"18","Wigan","WestHam",18,1071,379,18,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
"19","Wigan","WestHam",19,1071,379,19,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,10,1,3,6,7,-11,6,17,17,10,2,4,4,7,-11,10
