"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"2",2,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"3",3,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"4",4,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"5",5,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"6",6,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"7",7,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"8",8,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"9",9,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"10",10,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"11",11,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"12",12,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
"13",13,0,0,0,0,0,0,0,0,0,0,8,30,11,7,12,39,5,40,16,30,9,2,19,35,-24,29,"Sunderland","Bolton","TIE"
