"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"2",2,0,0,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"3",3,0,0,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"4",4,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"5",5,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"6",6,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"7",7,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"8",8,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"9",9,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"10",10,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"11",11,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"12",12,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"13",13,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"14",14,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"15",15,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"16",16,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"17",17,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"18",18,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"19",19,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"20",20,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"21",21,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"22",22,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"23",23,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"24",24,0,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"25",25,1,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"26",26,1,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"27",27,1,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
"28",28,1,1,0,0,0,0,0,0,0,0,16,5,1,1,3,4,-4,4,8,5,3,0,2,7,2,9,"Blackburn","AstonVilla","HOME"
