"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"2",2,0,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"3",3,0,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"4",4,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"5",5,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"6",6,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"7",7,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"8",8,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"9",9,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"10",10,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"11",11,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"12",12,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"13",13,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"14",14,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"15",15,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"16",16,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"17",17,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"18",18,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"19",19,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"20",20,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
"21",21,1,0,0,0,0,0,0,0,0,0,2,29,20,4,5,78,49,64,9,29,11,9,9,39,4,42,"ManCity","Southampton","HOME"
