"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"2",2,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"3",3,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"4",4,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"5",5,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"6",6,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"7",7,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"8",8,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"9",9,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"10",10,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"11",11,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"12",12,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"13",13,0,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"14",14,1,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"15",15,1,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"16",16,1,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"17",17,1,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"18",18,1,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"19",19,1,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"20",20,1,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"21",21,1,0,0,0,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"22",22,1,0,0,1,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"23",23,1,0,0,1,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
"24",24,1,0,0,1,0,0,0,0,0,0,9,30,12,7,11,32,-4,43,16,30,8,9,13,30,-10,33,"StokeCity","Swansea","TIE"
