"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"2",2,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"3",3,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"4",4,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"5",5,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"6",6,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"7",7,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"8",8,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"9",9,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"10",10,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"11",11,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"12",12,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"13",13,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"14",14,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"15",15,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"16",16,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"17",17,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"18",18,0,0,0,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"19",19,0,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"20",20,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"21",21,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"22",22,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"23",23,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"24",24,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"25",25,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"26",26,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"27",27,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"28",28,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"29",29,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"30",30,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"31",31,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"32",32,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"33",33,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"34",34,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"35",35,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"36",36,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"37",37,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"38",38,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"39",39,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"40",40,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"41",41,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"42",42,1,0,1,0,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"43",43,1,0,1,1,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"44",44,1,0,1,1,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"45",45,1,0,1,1,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"46",46,1,0,1,1,0,0,0,0,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"47",47,1,0,1,1,0,0,0,1,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"48",48,1,0,1,1,0,0,0,1,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"49",49,1,0,1,1,0,0,0,1,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"50",50,1,0,1,1,0,0,0,1,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"51",51,1,0,1,1,0,0,0,1,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"52",52,1,0,1,1,0,0,0,1,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"53",53,1,0,1,1,0,0,0,1,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
"54",54,1,0,1,1,0,0,0,1,0,0,5,29,16,6,7,43,13,54,19,29,6,4,19,30,-22,22,"Liverpool","QPR","HOME"
