"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"2",2,0,0,0,0,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"3",3,0,0,0,0,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"4",4,0,0,0,0,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"5",5,0,0,0,0,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"6",6,0,0,0,0,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"7",7,0,0,0,0,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"8",8,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"9",9,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"10",10,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"11",11,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"12",12,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"13",13,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"14",14,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"15",15,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"16",16,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"17",17,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"18",18,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"19",19,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"20",20,0,1,0,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"21",21,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"22",22,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"23",23,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"24",24,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"25",25,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"26",26,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"27",27,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"28",28,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"29",29,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"30",30,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"31",31,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"32",32,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"33",33,0,1,1,1,0,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"34",34,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"35",35,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"36",36,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"37",37,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"38",38,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"39",39,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"40",40,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"41",41,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"42",42,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"43",43,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"44",44,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"45",45,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"46",46,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"47",47,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"48",48,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"49",49,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"50",50,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
"51",51,0,1,1,1,1,0,0,0,0,0,17,20,4,5,11,19,-16,17,14,20,5,8,7,22,-4,23,"QPR","Fulham","AWAY"
