"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"2",2,0,0,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"3",3,0,0,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"4",4,0,0,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"5",5,0,0,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"6",6,0,0,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"7",7,0,1,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"8",8,0,1,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"9",9,0,1,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"10",10,0,1,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"11",11,0,1,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"12",12,0,1,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"13",13,0,1,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"14",14,0,1,0,0,0,0,0,0,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"15",15,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"16",16,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"17",17,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"18",18,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"19",19,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"20",20,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"21",21,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"22",22,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"23",23,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"24",24,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"25",25,0,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"26",26,1,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"27",27,1,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
"28",28,1,1,0,0,0,0,0,1,0,0,17,20,4,8,8,18,-15,20,16,20,3,11,6,19,-5,20,"Wigan","Birmingham","HOME"
