"","nome.y","nome.x","minuto","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","ManCity","WestBrom",1,281,984,1,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"2","ManCity","WestBrom",2,281,984,2,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"3","ManCity","WestBrom",3,281,984,3,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"4","ManCity","WestBrom",4,281,984,4,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"5","ManCity","WestBrom",5,281,984,5,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"6","ManCity","WestBrom",6,281,984,6,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"7","ManCity","WestBrom",7,281,984,7,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"8","ManCity","WestBrom",8,281,984,8,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"9","ManCity","WestBrom",9,281,984,9,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"10","ManCity","WestBrom",10,281,984,10,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"11","ManCity","WestBrom",11,281,984,11,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"12","ManCity","WestBrom",12,281,984,12,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"13","ManCity","WestBrom",13,281,984,13,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"14","ManCity","WestBrom",14,281,984,14,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"15","ManCity","WestBrom",15,281,984,15,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"16","ManCity","WestBrom",16,281,984,16,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"17","ManCity","WestBrom",17,281,984,17,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"18","ManCity","WestBrom",18,281,984,18,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"19","ManCity","WestBrom",19,281,984,19,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"20","ManCity","WestBrom",20,281,984,20,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"21","ManCity","WestBrom",21,281,984,21,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"22","ManCity","WestBrom",22,281,984,22,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"23","ManCity","WestBrom",23,281,984,23,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"24","ManCity","WestBrom",24,281,984,24,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"25","ManCity","WestBrom",25,281,984,25,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"26","ManCity","WestBrom",26,281,984,26,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"27","ManCity","WestBrom",27,281,984,27,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"28","ManCity","WestBrom",28,281,984,28,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"29","ManCity","WestBrom",29,281,984,29,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"30","ManCity","WestBrom",30,281,984,30,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"31","ManCity","WestBrom",31,281,984,31,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"32","ManCity","WestBrom",32,281,984,32,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"33","ManCity","WestBrom",33,281,984,33,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"34","ManCity","WestBrom",34,281,984,34,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"35","ManCity","WestBrom",35,281,984,35,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"36","ManCity","WestBrom",36,281,984,36,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
"37","ManCity","WestBrom",37,281,984,37,0,0,0,0,0,0,0,0,0,0,"HOME",20,20,17,3,3,11,12,-20,12,17,17,17,5,3,9,30,5,18
