"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"2",2,0,0,0,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"3",3,0,0,0,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"4",4,0,0,0,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"5",5,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"6",6,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"7",7,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"8",8,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"9",9,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"10",10,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"11",11,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"12",12,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"13",13,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"14",14,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"15",15,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"16",16,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"17",17,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"18",18,0,0,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"19",19,0,1,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
"20",20,0,1,1,0,0,0,0,0,0,0,5,30,14,10,6,48,14,52,3,30,16,7,7,48,18,55,"WestHam","Arsenal","TIE"
