"","minuto","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2","nome.x","nome.y","vencedor"
"1",1,0,0,0,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"2",2,0,0,0,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"3",3,0,0,0,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"4",4,0,0,0,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"5",5,0,0,0,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"6",6,0,0,0,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"7",7,0,0,0,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"8",8,0,0,0,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"9",9,0,0,0,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"10",10,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"11",11,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"12",12,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"13",13,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"14",14,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"15",15,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"16",16,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"17",17,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"18",18,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"19",19,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"20",20,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"21",21,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"22",22,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"23",23,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"24",24,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"25",25,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"26",26,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"27",27,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"28",28,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"29",29,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"30",30,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"31",31,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"32",32,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"33",33,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"34",34,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"35",35,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"36",36,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"37",37,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"38",38,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"39",39,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"40",40,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"41",41,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"42",42,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"43",43,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"44",44,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"45",45,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"46",46,0,0,1,0,0,0,0,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"47",47,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"48",48,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"49",49,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"50",50,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"51",51,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"52",52,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"53",53,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"54",54,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"55",55,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"56",56,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"57",57,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"58",58,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"59",59,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"60",60,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"61",61,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"62",62,0,0,1,0,0,0,1,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"63",63,0,0,1,0,0,0,2,0,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"64",64,0,0,1,0,0,0,2,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"65",65,0,0,1,0,0,0,2,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"66",66,0,0,1,0,0,0,2,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"67",67,0,0,1,0,0,0,2,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"68",68,0,0,1,0,0,0,2,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"69",69,0,0,1,0,0,0,2,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"70",70,0,0,1,0,0,0,3,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"71",71,0,0,1,0,0,0,3,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"72",72,0,0,1,0,0,0,3,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"73",73,0,0,1,0,0,0,3,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"74",74,0,0,1,0,0,0,3,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"75",75,0,0,1,0,0,0,3,1,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
"76",76,0,0,1,0,0,0,3,2,0,0,3,19,12,4,3,35,16,40,4,19,10,7,2,31,13,37,"Chelsea","Everton","HOME"
